PROGRAMA EDUCATIVO,NOMBRE DE LA ASIGNATURA,AREA DE CONOCIMIENTO
INGENIERÍA EN SISTEMAS COMPUTACIONALES,CÁLCULO DIFERENCIAL,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,CÁLCULO INTEGRAL,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,QUÍMICA,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,ALGEBRA LINEAL,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,PROBABILIDAD Y  ESTADÍSTICA,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,CÁLCULO VECTORIAL,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,FÍSICA GENERAL,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,ECUACIONES DIFERENCIALES,CIENCIAS BÁSICAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,FUNDAMENTOS DE PROGRAMACIÓN,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,MATEMÁTICAS DISCRETAS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,FUNDAMENTOS DE INVESTIGACIÓN,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,PROGRAMACIÓN ORIENTADA A OBJETOS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,ESTRUCTURA DE DATOS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,SISTEMAS OPERATIVOS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,MÉTODOS NUMÉRICOS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TÓPICOS AVANZADOS DE PROGRAMACIÓN,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,FUNDAMENTOS DE BASES DE DATOS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,PRINCIPIOS ELÉCTRICOS Y APLICACIONES DIGITALES,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,FUNDAMENTOS DE TELECOMUNICACIONES,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,FUNDAMENTOS DE INGENIERÍA DEL SOFTWARE,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,ARQUITECTURA DE COMPUTADORAS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,LENGUAJES Y AUTÓMATAS I,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,LENGUAJES DE INTERFAZ,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,LENGUAJES Y AUTÓMATAS II,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,PROGRAMACIÓN LÓGICA Y FUNCIONAL,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,INVESTIGACIÓN DE OPERACIONES,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TALLER DE SISTEMAS OPERATIVOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TALLER DE BASES DE DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,SIMULACIÓN,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,PROGRAMACIÓN WEB,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,REDES DE COMPUTADORAS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,ADMINISTRACIÓN DE BASES DE DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,GRAFICACIÓN,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,INGENIERÍA DE SOFTWARE,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TALLER DE INVESTIGACIÓN I,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,CONMUTACIÓN Y ENRUTAMIENTO DE REDES DE DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,GESTIÓN DE PROYECTOS DE SOFTWARE,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,SISTEMAS PROGRAMABLES,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,INTELIGENCIA ARTIFICIAL,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,ADMINISTRACIÓN DE REDES,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TALLER DE INVESTIGACIÓN II,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,APLICACIONES NATIVAS PARA MÓVILES DE CÓDIGO ABIERTO.,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,PROGRAMACIÓN MÓVIL NATIVO PARA SISTEMA PROPIETARIO.,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,VISIÓN POR COMPUTADORA EN DISPOSITIVOS MÓVILES.,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,LENGUAJES MULTIPLATAFORMA PARA EL DESARROLLO MÓVIL.,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,SEGURIDAD Y TESTING EN TECNOLOGÍA MÓVIL.,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,INTRODUCCIÓN A LA CIENCIA DE LOS DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,LENGUAJES DE PROGRAMACIÓN PARA CIENCIA DE LOS DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,MINERÍA DE DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,APRENDIZAJE MÁQUINA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,INTELIGENCIA DE NEGOCIOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TALLER DE ÉTICA,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN SISTEMAS COMPUTACIONALES,DESARROLLO SUSTENTABLE,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN SISTEMAS COMPUTACIONALES,TALLER DE ADMINISTRACIÓN,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,CONTABILIDAD FINANCIERA,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA EN SISTEMAS COMPUTACIONALES,CULTURA EMPRESARIAL,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA ELECTROMECÁNICA,INTRODUCCIÓN A LA PROGRAMACIÓN,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,TECNOLOGÍA DE LOS MATERIALES,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,DIBUJO ELECTROMECÁNICO METROLOGÍA Y NORMALIZACIÓN PROCESOS DE MANUFACTURA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,ANÁLISIS DE CIRCUITOS ELÉCTRICOS DE CD,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,MECÁNICA DE FLUIDOS,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,ANÁLISIS Y SÍNTESIS DE MECANISMOS,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,TERMODINÁMICA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,ANÁLISIS DE CIRCUITOS ELÉCTRICOS DE CA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,ELECTRÓNICA ANALÓGICA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,TRANSFERENCIA DE CALOR,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,ELECTRÓNICA DIGITAL,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,MÁQUINAS Y EQUIPOS TÉRMICOS II,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,MÁQUINAS Y EQUIPOS TÉRMICOS II,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,SISTEMAS ELÉCTRICOS DE POTENCIA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,MODELADO DE SISTEMAS ELÉCTRICOS DE POTENCIA (ESP. SISTEMAS),CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,SISTEMAS ELÉCTRICOS DE POTENCIA 2 (ESP. SISTEMAS),CIENCIAS DE LA INGENIERÍA 
INGENIERÍA ELECTROMECÁNICA,SISTEMAS Y MÁQUINAS DE FLUIDOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,DISEÑO DE ELEMENTOS DE MÁQUINAS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,MAQUINAS ELÉCTRICAS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,REFRIGERACIÓN Y AIRE ACONDICIONADO,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,CONTROLES ELÉCTRICOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,PRUEBAS Y MANTENIMIENTO ELÉCTRICO,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,CALIDAD INDUSTRIAL,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,SUBESTACIONES ELÉCTRICAS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,MANUFACTURA AVANZADA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,AHORRO DE ENERGÍA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,RESIDENCIA PROFESIONAL,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA ELECTROMECÁNICA,QUÍMICA,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,CÁLCULO,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,DIFERENCIAL,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,ALGEBRA LINEAL,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,CÁLCULO INTEGRAL,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,PROBABILIDAD Y,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,ESTADÍSTICA,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA, ELECTRICIDAD Y MAGNETISMO,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,ESTÁTICA,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,CÁLCULO,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,VECTORIAL,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,DINÁMICA,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,MECÁNICA DE MATERIALES,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,ECUACIONES,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,DIFERENCIALES,CIENCIAS BÁSICAS
INGENIERÍA ELECTROMECÁNICA,TALLER DE ÉTICA,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA ELECTROMECÁNICA,ACTIVIDADES COMPLEMENTARI AS III,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA ELECTROMECÁNICA,ACTIVIDADES COMPLEMENTARI AS IV,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA ELECTROMECÁNICA,FUNDAMENTOS DE INVESTIGACIÓN,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA ELECTROMECÁNICA,TALLER DE INVESTIGACIÓN I,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA ELECTROMECÁNICA,ADMINISTRACIÓN Y TÉCNICAS DE MANTENIMIENTO,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA ELECTROMECÁNICA,TALLER DE INVESTIGACIÓN II,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA ELECTROMECÁNICA,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA ELECTROMECÁNICA,ACTIVIDADES COMPLEMENTARIAS I,CURSOS COMPLEMENTARIOS
INGENIERÍA ELECTROMECÁNICA,DESARROLLO SUSTENTABLE,CURSOS COMPLEMENTARIOS
INGENIERÍA ELECTROMECÁNICA, ACTIVIDADES COMPLEMENTARÍAS II,CURSOS COMPLEMENTARIOS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,LABORATORIO DE QUÍMICA ANALÍTICA,CIENCIAS BÁSICAS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,QUÍMICA ORGÁNICA,CIENCIAS BÁSICAS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,CÁLCULO INTEGRAL,CIENCIAS BÁSICAS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,TALLER DE ÉTICA,CIENCIAS BÁSICAS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,PROBABILIDAD Y ESTADÍSTICA,CIENCIAS BÁSICAS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,FUNDAMENTOS DE FÍSICA,CIENCIAS BÁSICAS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,BIOQUÍMICA DE ALIMENTOS II,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,TECNOLOGÍA DE CONSERVACIÓN,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,FLUJO DE FLUIDOS,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,ANÁLISIS DE ALIMENTOS,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,TALLER DE CONTROL ESTADÍSTICO DE PROCESO,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,MICROBIOLOGÍA DE ALIMENTOS,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,BIOTECNOLOGÍA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,INNOVACIÓN Y DESARROLLO DE NUEVOS PRODUCTOS,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,OPERACIONES DE TRANSFERENCIA DE MASA,CIENCIAS DE LA INGENIERÍA 
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,TECNOLOGÍA DE CÁRNICOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,INDUCCIÓN A LA ADMINISTRACIÓN Y ECONOMÍA,CURSOS COMPLEMENTARIOS
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,TALLER DE INVESTIGACIÓN II,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS ,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,DISEÑO E IMPARTICIÓN DE CURSOS PRESENCIALES,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,TALLER DE LIDERAZGO Y GESTIÓN ORGANIZACIONAL,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,CERTIFICACIÓN EN CALIDAD E INNOCUIDAD EN LA INDUSTRIA ALIMENTARIA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,CADENA DE SUMINISTRO Y COMERCIALIZACIÓN ALIMENTARIA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,ENVASADO DE ALIMENTOS  Y LA INDUSTRIA 4.0,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,ANALISIS DE VIDA DE ANAQUEL EN LOS ALIMENTOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,HIGIENE Y SEGURIDAD ALIMENTARIA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA INDUSTRIAL,FUNDAMENTOS DE INVESTIGACION,CIENCIAS BÁSICAS
